definition,feature,observations,people,pearson,spearman,pearson_ci_low,pearson_ci_high,spearman_ci_low,spearman_ci_high
correlations,target_L,966,24,-0.2835671677454835,-0.18089738747702475,-0.5178829467104241,-0.0008252262285046793,-0.3969901645759979,0.023629111113908953
correlations,observed_median_L_D65_2deg,966,24,-0.05371918091942658,-0.11261197723916015,-0.21875224572676166,0.08128711442589158,-0.25625052246410723,0.023235468334099795
correlations,brightness_mean_encoded_RGB,966,24,-0.056820017786509504,-0.11548987737486176,-0.230502791979612,0.09845248460475609,-0.27078636625137764,0.04112550572574837
correlations,brightness_sd_encoded_RGB,966,24,0.2654353043148439,0.1430444856627608,0.010368768885781553,0.4666624898169377,-0.033595721901385316,0.3436620632248076
correlations,linear_Y_mean,966,24,-0.062277984140350774,-0.1201574329203296,-0.22926711150298568,0.08428933759901952,-0.26122090644663765,0.015621344734359137
correlations,resized_high_clip_pixel_fraction,966,24,0.05509518486616018,0.1947086589506767,-0.016269160229300823,0.23057659920493648,0.04125103081466411,0.36176118732081114
correlations,resized_low_clip_pixel_fraction,966,24,0.06198089980549706,0.06616044025844726,0.008090647258654486,0.137317810731538,0.022857628405003324,0.10510283021472838
correlations,resized_any_clip_pixel_fraction,966,24,0.05519652821107315,0.1976507359313745,-0.016186280960375447,0.23076312917165737,0.04346609104398162,0.3610693499686795
correlations,original_high_clip_pixel_fraction,966,24,0.12402611271603216,0.11988001695188585,-0.014571613689431617,0.4038065297310217,-0.03060897020108669,0.31422493730781004
correlations,original_low_clip_pixel_fraction,966,24,0.22493427412334283,0.19924566094763788,0.009363761983035918,0.2992657650967278,0.043572742399133814,0.36901027707327616
correlations,resized_channel_variance_mean,966,24,0.29958262042555955,0.14477760296990194,0.048593131590414514,0.4752790473542181,-0.032293925352916884,0.34760756422670386
correlations,reference_repeat_pair_mean_delta_e00,966,24,0.053694395187214236,0.04740427516737656,-0.06130429866649604,0.1918537707367991,-0.06245216730471913,0.16790075161967305
correlations,within_site_observed_median_pair_mean_delta_e00,965,24,0.2966066912644002,0.2328274434984453,0.10239962084237324,0.4742394079085502,0.07970792698434302,0.39256790184042145
correlations,within_site_color36_train_z_pair_rms_mean,965,24,0.31886990995226905,0.2748971858275541,0.17012977791518707,0.42872876167242413,0.1194731668226015,0.4140247208678597
correlations,observed_minus_instrument_L_mixed_observer_proxy,966,24,0.2266232850442666,0.10857912073077379,-0.008074488278488622,0.4115407203755634,-0.05755405430776987,0.2986737360693948
correlations,observed_minus_instrument_a_mixed_observer_proxy,966,24,0.1493158205239097,0.11893893962726974,-0.040424729125102456,0.31661473974902055,-0.054880734303883544,0.2922895909227387
correlations,observed_minus_instrument_b_mixed_observer_proxy,966,24,0.12930277672012155,0.09283304608346138,-0.11123482692438921,0.3202954320340427,-0.08889723038815717,0.2679134575184683
correlations,observed_vs_instrument_euclidean_mixed_observer_proxy,966,24,0.26428898339184254,0.12852988447559738,-0.012171033823922161,0.4321763222241981,-0.04673167739284713,0.2995409918580383
correlations,within_site_observed_mean_pair_mean_delta_e00,965,24,0.29006232751132494,0.2363922800397953,0.103810593799728,0.46750084202118214,0.0800609308499996,0.39961370421096193
patient_centered_correlations,within_site_observed_mean_pair_mean_delta_e00,965,24,0.13649204013695176,0.08504739933276124,0.056317290471188705,0.22604161707207038,-0.021125805372477553,0.19517435711726502
patient_centered_correlations,observed_vs_instrument_euclidean_mixed_observer_proxy,966,24,0.11993359224156197,0.017798132302852494,-0.04003934869772736,0.2823784064487482,-0.08495064358114138,0.11955502750048654
patient_centered_correlations,reference_repeat_pair_mean_delta_e00,966,24,0.12360523273648022,0.09219261273440241,0.02524339907370567,0.22309955341157464,0.0009396988003478586,0.1908718776603084
site_equal_weight_correlations,within_site_observed_mean_pair_mean_delta_e00,247,24,0.3544367322772475,0.3390513064723177,0.15091000044659064,0.5457131517610914,0.16026258460850878,0.5048197224211588
site_equal_weight_correlations,within_site_color36_train_z_pair_rms_mean,247,24,0.3876453746562055,0.3889251665143006,0.22392195196362172,0.5074991882368685,0.21961786622509422,0.5368098749925686
site_equal_weight_correlations,reference_repeat_pair_mean_delta_e00,248,24,0.05635061070570192,0.08017234410523483,-0.07856825777305938,0.2278620457351075,-0.05462773148467029,0.22835014462159609
